Transaction Date,Property Address,Post Code,Detached/Semi Detached/Terraced,Type of Property ,Sold Price,Size of Property (Sqft) ,Sold Price / Size of Property (Sqft) ,Construction Date,Existing stock or New Build
30-Jun-23,101  BYGROVE NEW ADDINGTON,CR0 9DN,T,House,166495,1119,149,England and Wales: 1967-1975,Existing stock
17-Feb-23,44  THURSLEY CRESCENT NEW ADDINGTON,CR0 0PQ,S,House,445000,1152,386,England and Wales: 1950-1966,Existing stock
16-Aug-22,16  WOLSEY CRESCENT NEW ADDINGTON,CR0 0PE,S,House,490000,1270,386,England and Wales: 1930-1949,Existing stock
01-Sep-22,160  DUNLEY DRIVE NEW ADDINGTON,CR0 0RE,T,House,475000,1313,362,England and Wales: 2003-2006,Existing stock
19-Jul-23,29  SHAXTON CRESCENT NEW ADDINGTON,CR0 0NW,S,House,400000,1227,326,England and Wales: 1930-1949,Existing stock
18-Jun-21,60  FRENSHAM DRIVE NEW ADDINGTON,CR0 0QY,T,House,405000,1238,327,England and Wales: 1950-1966,Existing stock
16-Feb-21,77  THE LINDENS NEW ADDINGTON,CR0 9EL,T,House,290000,1259,230,England and Wales: 1976-1982,Existing stock
18-Nov-19,179  HEADLEY DRIVE NEW ADDINGTON,CR0 0QN,T,House,280000,1324,211,England and Wales: 1950-1966,Existing stock
30-Jun-21,160  DUNLEY DRIVE NEW ADDINGTON,CR0 0RE,T,House,490000,1313,373,England and Wales: 2003-2006,Existing stock
04-Jun-21,138  NORTH WALK NEW ADDINGTON,CR0 9ET,T,House,335000,1141,294,England and Wales: 1950-1966,Existing stock
01-Apr-19,23  ALDRICH CRESCENT NEW ADDINGTON,CR0 0NP,T,House,385000,1249,308,England and Wales: 1950-1966,Existing stock
15-Jan-19,36  ALDRICH CRESCENT NEW ADDINGTON,CR0 0NL,S,House,630000,1173,537,England and Wales: 1930-1949,Existing stock
22-Feb-19,103  ALDRICH CRESCENT NEW ADDINGTON,CR0 0NQ,S,House,382000,1206,317,England and Wales: 1930-1949,Existing stock
